"OrderID","ReversalID","RefundCompletionDate","Currency","AmountRefunded","Status","DisbursementType"
"114-4075887-9667402","jlVYOel2TQexgzfGKiAPfA","05/16/2023 04:51:26 UTC","USD","65.98","Completed","Refund"
"114-7615997-5029069","d9YdYT0XR0KaWBBuHSTC7Q","03/15/2023 02:21:02 UTC","USD","19.79","Completed","Refund"
"114-7615997-5029069","m8joAhJFTG2DZnQh8axkdA","03/15/2023 02:18:31 UTC","USD","17.04","Completed","Refund"
"112-0452694-5711438","EkZi0Bt1S9us6vIdJm4mKA","02/27/2023 00:24:08 UTC","USD","23.71","Completed","Refund"
"112-2523722-7197835","/a/2Vv64QeaNhe7AhNY67A","01/11/2022 02:25:14 UTC","USD","19.25","Completed","Refund"
"112-2157947-1281850","CQNn6VEfSE6QK/26stdybg","08/05/2021 21:00:32 UTC","USD","19.84","Completed","Refund"
"112-6902175-8862624","Lk3nXPeqRTel8DXF92UiiQ","07/02/2021 22:55:32 UTC","USD","29.71","Completed","Refund"
"111-1492796-9958663","n8nmpYswQryWfHN4KIDxbA","05/15/2021 01:45:43 UTC","USD","40.76","Completed","Refund"
"111-1502158-8269022","JN2pUGBeT3KYGr0sOnMyZw","03/29/2021 20:36:05 UTC","USD","22.03","Completed","Refund"
"113-6797774-8716269","7PBKcOmHTwKqKM8NXa0vug","01/27/2021 00:31:06 UTC","USD","14.31","Completed","Refund"
"112-1177769-4113054","aO9CoH0YRzShGEm6zACcRg","01/12/2021 05:22:07 UTC","USD","33.05","Completed","Refund"
"113-3270744-1926631","gW13a1siSVGq9z1xpbOlXQ","01/11/2021 21:43:35 UTC","USD","9.75","Completed","Refund"
"112-5445860-7750606","qRffWPJDSMKof6Tx5HgQRQ","12/29/2020 10:42:16 UTC","USD","39.65","Completed","Refund"
"113-3234718-0630647","BvQPezcbSPunDCf8ARAKGQ","11/17/2020 04:53:42 UTC","USD","9.91","Completed","Refund"
"113-0351906-3558630","MAycEWZpSfaFRvaTDtdE/g","11/11/2020 14:47:30 UTC","USD","0.12","Completed","Refund"
"111-5762313-2673865","2QtkJLvQSy2upX2Q1pVeGQ","09/12/2020 05:47:46 UTC","USD","24.22","Completed","Refund"
"113-3667826-9441012","UzPkLo0FQJu767rilYdzTA","12/08/2019 01:43:36 UTC","USD","23.11","Completed","Refund"
"113-8062003-1787415","9ryHY6zPTTKEd3eWuU8qHg","08/16/2019 00:15:18 UTC","USD","36.37","Completed","Refund"
"113-0477231-6853841","20jTuDDIRKaOdA+drRqE4g","04/13/2019 02:03:45 UTC","USD","12.73","Completed","Refund"
"113-0992526-5574615","vBK2TApwSUeXdDs0hgF57w","12/18/2018 10:19:10 UTC","USD","24.19","Completed","Refund"
"107-6733660-2359414","PduTP5vWQVW8fNG6Dd0isQ","01/23/2017 07:56:04 UTC","USD","21.74","Completed","Refund"
"108-1841261-1817016","kv7t6FZ/QJaE/6GPP+cWTg","01/10/2017 22:58:05 UTC","USD","9.23","Completed","Refund"
"108-1841261-1817016","pJJzEqQQQFuyO5Z8GX9xGA","01/10/2017 22:57:01 UTC","USD","15.12","Completed","Refund"
"102-6079821-3313844","1x46o5BGSI6mTU5XArYsnw","02/17/2016 02:10:17 UTC","USD","18.99","Completed","Refund"
"110-3857419-4849039","KoHaemjzR6K4xKxVCAcLSw","02/21/2015 03:45:46 UTC","USD","5.64","Completed","Refund"
"107-8015917-9720210","L+2snQEXRqOVlc3usc+8lw","12/31/2012 17:45:19 UTC","USD","24.58","Completed","Refund"
"002-6898470-0218650","Buc/rWuLQBW87EmVVflZVQ","07/10/2012 23:11:13 UTC","USD","13.14","Completed","Refund"
"103-4450635-5033853","ZoPh0WvWT9mKALB8dBSTEw","01/21/2010 20:37:57 UTC","USD","51.6","Completed","Refund"
"103-3588937-2909419","UzDt8KXVSsCDQ3DDGOH/+w","05/22/2007 18:53:20 UTC","USD","15.72","Completed","Refund"
